Year,Name,Show,ShortText,Text
,Dulcimer,FALSE,Dulcimer becomes the first widely used stringed musical instrument,"Hammered dulcimer becomes the first widely used stringed musical instrument, and was a first precursor of Piano. Its structure of paired strings was very similar to one of piano. It was used in Middle East, Southwest Asia, China, Greece and Rome."
1400,Clavichord,TRUE,Invention of clavichord by Giovanni Spinette,Invention of clavichord by the Italian musician and luthier Giovanni Spinette. Wooden form of clavichord will later be adapted into piano.
1521,Harpsichord,TRUE,First harpsichord with four octaves,Italian inventor Hieronymus Bononiensis created first harpsichord with four octaves. This instrument was recorded to have very weak sound and was used rarely.
1700,Fortepiano (horizontal),TRUE,"Birth of first instrument that we would today call a piano, pianoforte","Birth of first instrument that we would today call a piano. This invention was made by Italian Bartolomeo Cristofori, who named this instrument pianoforte. Relatively cheap price enabled this piano to become first instrument of its type to be widely adopted in homes of Italian nobility and royalty."
1766,Fortepiano (horizontal),TRUE,First large-scale manufacture of sturdy and lightweight pianos,English engineer and musician Johann Zumpe begins first large-scale manufacture of sturdy and lightweight pianos in England.
1771,Fortepiano (horizontal),FALSE,Design of piano was expanded greatly adding more octaves,"Johann Zumpe design of piano was expanded greatly by English inventor John Broadwood, who added more octaves to cover treble and bass, added pedal and strings were much more robust and lauder."
1801,Fortepiano (horizontal),FALSE,Ludwig von Beethoven created Moonlight Sonata,"Famous classical music composer Ludwig von Beethoven created Moonlight Sonata, one of the most popular piano compositions of all time. (Music found in Grand Piano music example.)"
1807,Cabinet piano,FALSE,"Piano got a new shape of a tall box, a Cabinet piano","Piano got a new shape of a tall box, a Cabinet piano."
1808,Fortepiano (horizontal),FALSE,"First piano with agraffe, which enabled much more aggressive use of keyboards and hammers","Inventor Stbastien Erad created first piano with agraffe, which enabled much more aggressive use of keyboards and hammers. This gave ability to famous classical composers such as Beethoven, Mozart, and Liszt to create their most famous works."
1830,Modern upright piano,FALSE,First upright piano was made,First upright piano was made. This design achieved phenomenal popularity.
1830,Fortepiano (horizontal),TRUE,Pianoforte name shortened into much more manageable piano,Pianoforte instruments finally got their name shortened into much more manageable piano.
1840,Grand Piano,FALSE,Grand pianos started being made in America,Grand pianos started being made in America. Their bodies were created from one-cast iron frame. This design will be popularized by the manufacturer Steinway.
1853,Fortepiano (horizontal),FALSE,Foundation of the Steinway piano company,"Foundation of the Steinway piano company. Regarded as one of the best piano company of all time, it still functions to this day."
1866,Grand Piano,FALSE,Manhattan's Steinway Music Hall was built to house New York Philharmonic orchestra,Manhattan's Steinway Music Hall with 2000 seating places was built to house New York Philharmonic orchestra.
1891,Grand Piano,FALSE,"Foundation of Carnegie Hall, one of the most famous musical buildings in the world","Foundation of Carnegie Hall, one of the most famous musical buildings in the world."
1920,Player Piano,TRUE,Automatic pianos become very popular,Automatic pianos become very popular. Their use was almost non-existent after invention of radio.
1930,Modern upright piano,FALSE,Upright pianos became much smaller,Upright pianos became much smaller.
1947,Electric Piano,FALSE,Invention of first electric keyboard,Invention of first electric keyboard in France. Their size and complexity prevented them to become popular all until 1980s.
1970,Electric Piano,FALSE,Musical Keyboard was invented by Christopher Donison,"Musical Keyboard was invented by Christopher Donison, this model was used as a great learning tool."
1980,Electric Piano,FALSE,Electric keyboards started being made in all shapes and sizes,Electric keyboards started being made in all shapes and sizes. Popularization of pop and electric music popularized them greatly.
2000,Electric Piano,TRUE,Electric pianos can be found in almost every band,"Electric pianos can be found everywhere, in almost every band."
